IncidentId,Timestamp,Zone,Severity,Description,EquipmentId
INC-02-10,2025-12-23T01:10:00Z,Zone-B,High,Elevated CO in Zone-B; ventilation adjusted,ES-002
INC-03-14,2025-12-24T05:10:00Z,Zone-A,Medium,Conveyor bearing vibration spike; inspected next shift,CV-001
INC-05-22,2025-12-26T13:10:00Z,Zone-A,High,Drill hydraulic pressure drop; seal replaced,DR-001
INC-08-09,2025-12-29T00:10:00Z,Zone-B,Medium,Haul truck engine overheat; coolant topped up,HT-003
INC-10-16,2025-12-31T07:10:00Z,Zone-A,High,Methane spike Zone-A; partial evacuation 30 min,ES-001
INC-11-06,2025-12-31T21:10:00Z,Zone-C,Medium,Conveyor stoppage — belt splice failure,CV-003
INC-13-20,2026-01-03T11:10:00Z,Zone-B,Medium,Drill vibration anomaly; bit replaced,DR-003
INC-15-11,2026-01-05T02:10:00Z,Zone-B,Medium,Oil pressure critical; truck returned to workshop,HT-004
INC-17-03,2026-01-06T18:10:00Z,Zone-C,High,Night-shift CO elevation Zone-C; ventilation boosted,ES-003
INC-19-13,2026-01-09T04:10:00Z,Zone-B,Medium,Sustained vibration — roller replacement scheduled,CV-002
INC-20-08,2026-01-09T23:10:00Z,Zone-A,Medium,Brief overheat during loaded climb,HT-001
INC-22-15,2026-01-12T06:10:00Z,Zone-A,High,Hydraulic pressure warning; filter changed,DR-002
INC-24-10,2026-01-14T01:10:00Z,Zone-B,High,Minor methane reading; monitoring increased,ES-002
INC-26-19,2026-01-16T10:10:00Z,Zone-A,Medium,Major conveyor stoppage — motor fault,CV-001
INC-27-07,2026-01-16T22:10:00Z,Zone-C,Medium,Truck vibration during haul; suspension inspected,HT-005
INC-29-12,2026-01-19T03:10:00Z,Zone-A,High,CO spike during blasting activity,ES-001
INC-30-14,2026-01-20T05:10:00Z,Zone-A,Medium,Gradual overheat; thermostat replaced,HT-002
